"treated_nsn","outcome","att","placebo_se","ci_lo","ci_hi","asymp_p","empirical_p","pre_rmspe","weight_hhi","n_balanced_pool","n_active","n_pre_eys","n_post_eys","n_placebo_used","wall_sec","error"
"8150014839121","domestic_share",-1.00103773536724,0.0979176969962184,-1.19295642147983,-0.809119049254651,0,0,1.52317526210577e-06,0.000125496477858775,26577,8633,4,1,200,10669.9614801407,NA
"8150014839121","max_log_unit_price",0.186360515441923,0.326284029634751,-0.45315618264219,0.825877213526035,0.567890921777716,0.25,0.000121026165094203,0.000288690665393301,27420,4936,4,1,200,10952.4484040737,NA
"8150014839121","mean_offers",1.09885468348445,1.91585509784032,-2.65622130828257,4.85393067525148,0.566266704934275,0.3,0.00189209931083063,0.000422905842491709,8603,4298,4,1,200,3339.63274788857,NA
"8150014839123","domestic_share",-0.707563571678176,0.0681810856278084,-0.841198499508681,-0.573928643847672,0,0,0.00638075945129315,0.055330161102767,7776,25,5,4,200,3039.68153905869,NA
"8150014839123","max_log_unit_price",-0.0373785367610213,0.277731729633833,-0.581732726843335,0.506975653321292,0.892939968002953,0.885,0.000645218897351959,0.000474719395918803,8813,4519,5,4,200,4340.286039114,NA
"8150014839123","mean_offers",0.838697186464955,1.55541048488114,-2.20990736390208,3.88730173683199,0.589740054184283,0.41,0.00774420734368911,0.000923716056729456,1222,1125,5,4,200,388.45974612236,NA
"8150014839125","domestic_share",-0.507514590081865,0.117053591306572,-0.736939629042747,-0.278089551120983,1.45266894520102e-05,0.015,0.000662928020317344,0.00673685491876921,17102,239,4,2,200,6525.84533500671,NA
"8150014839125","max_log_unit_price",0.0720042175608469,0.439228236902038,-0.788883126767148,0.932891561888842,0.869783502922901,0.7,0.000182617348621312,0.000236503907852119,20642,5962,4,2,200,7175.94305205345,NA
"8150014839125","mean_offers",-0.249495128815646,2.02237797701631,-4.21335596376762,3.71436570613632,0.901816321232728,0.68,0.00150550981582922,0.000247261382988168,4807,4559,4,2,200,1039.85197091103,NA
"8150014912678","domestic_share",-0.130510013504518,0.0744853375944863,-0.276501275189711,0.0154812481806757,0.0797467971644761,0.04,0.00827501555041209,0.0369408541356689,14022,42,5,3,200,6324.95508909225,NA
