NSN,BASE_PIID,mod_n,line_n,AWARD_DATE,_n,_nq,_np,_no
6230015055272,SPE8EJ20F076T,BASE,1,2020-04-30,4,1,2,1
6230015055272,SPE8EJ20F083D,BASE,1,2020-05-01,4,1,2,1
6230015055272,SPE8EJ20F091W,BASE,1,2020-05-05,4,1,2,1
6230015055272,SPE8EJ20F091X,BASE,1,2020-05-05,4,1,2,1
6230015055272,SPE8EJ20F096X,BASE,1,2020-05-07,4,1,2,1
6230015055272,SPE8EJ20F098K,BASE,1,2020-05-07,4,1,2,1
6230015055272,SPE8EJ20F100L,BASE,1,2020-05-07,4,1,2,1
6230015055272,SPE8EJ20F101T,BASE,1,2020-05-08,4,1,2,1
6230015055272,SPE8EJ20F102T,BASE,1,2020-05-08,4,1,2,1
6230015055272,SPE8EJ20F104A,BASE,1,2020-05-08,4,1,2,1
6230015055272,SPE8EJ20F116Q,BASE,1,2020-05-12,4,1,2,1
6230015055272,SPE8EJ20F126J,BASE,1,2020-05-14,4,1,2,1
6230015055272,SPE8EJ20F138G,BASE,1,2020-05-19,4,1,2,1
6230015055272,SPE8EJ20F140J,BASE,1,2020-05-20,4,1,2,1
6230015055272,SPE8EJ20F141F,BASE,1,2020-05-20,4,1,2,1
6230015055272,SPE8EJ20F141U,BASE,1,2020-05-20,4,1,2,1
6230015055272,SPE8EJ20F153K,BASE,1,2020-05-26,4,1,2,1
6230015055272,SPE8EJ20F157B,BASE,1,2020-05-27,4,1,2,1
6230015055272,SPE8EJ20F157Y,BASE,1,2020-05-27,4,1,2,1
6230015055272,SPE8EJ20F162X,BASE,1,2020-05-28,4,1,2,1
6230015055272,SPE8EJ20F169A,BASE,1,2020-05-30,4,1,2,1
6230015055272,SPE8EJ20F174E,BASE,1,2020-06-02,4,1,2,1
6230015055272,SPE8EJ20F186P,BASE,1,2020-06-05,4,1,2,1
6230015055272,SPE8EJ20F191J,BASE,1,2020-06-08,3,1,2,1
6230015055272,SPE8EJ20F197N,BASE,1,2020-06-10,4,1,2,1
6505000654214,SPE2D920F1037,BASE,1,2020-01-16,6,1,2,1
6505000654214,SPE2D920F3481,BASE,1,2020-07-10,5,1,2,1
6505000654214,SPE2D920F3514,BASE,1,2020-07-14,5,1,2,1
6505000654214,SPE2D922F1712,BASE,1,2022-02-18,5,1,2,1
6505000654214,SPE2D922F2049,BASE,1,2022-03-16,6,1,2,1
6505000797453,SPE2D922F0624,BASE,1,2021-11-16,5,1,2,1
6505001050102,SPE2D921F2121,BASE,1,2021-04-16,4,1,2,1
6505001117864,SPE2D920F2283,BASE,1,2020-04-05,5,1,2,1
6505001117864,SPE2D923F0004,BASE,1,2022-10-01,6,1,2,1
6505001167750,SPE2D920F1813,BASE,1,2020-02-29,8,1,2,1
6505001167750,SPE2D920F2792,BASE,1,2020-05-05,7,1,2,1
6505001474990,SPE2D922F0433,BASE,1,2021-10-24,4,1,2,1
6505001490141,SPE2D921F3212,BASE,1,2021-07-07,7,1,2,1
6505001490141,SPE2D921F3323,BASE,1,2021-07-12,7,1,2,1
6505001490141,SPE2D921F3399,BASE,1,2021-07-19,8,1,2,1
6505001490141,SPE2D921F3686,BASE,1,2021-08-18,7,1,2,1
6505001490141,SPE2D921F3960,BASE,1,2021-09-06,7,1,2,1
6505001490141,SPE2D921F3980,BASE,1,2021-09-07,7,1,2,1
6505001538220,SPE2D920F3856,BASE,1,2020-08-14,4,1,2,1
6505001656519,SPE2D920F1595,BASE,1,2020-02-13,2,1,2,1
6505002719220,SPE2D920F4069,BASE,1,2020-09-11,7,1,2,1
6505002719220,SPE2D922F2363,BASE,1,2022-04-15,12,1,2,1
6505002999535,SPE2D920F1519,BASE,1,2020-02-11,4,1,2,1
6505005434048,SPE2D920F1575,BASE,1,2020-02-12,5,1,2,1
6505005799717,SPE2D921F3554,BASE,1,2021-08-09,12,1,2,1
6505005799717,SPE2D921F3587,BASE,1,2021-08-09,14,1,2,1
6505005799717,SPE2D921F3867,BASE,1,2021-08-31,5,1,2,1
6505005799717,SPE2D921F3888,BASE,1,2021-08-31,7,1,2,1
6505005824679,SPE2D920F1592,BASE,1,2020-02-13,8,1,2,1
6505006601798,SPE2D920F2035,BASE,1,2020-03-12,6,1,2,1
6505006601798,SPE2D921F1163,BASE,1,2021-01-15,8,1,2,1
6505006601798,SPE2D921F1166,BASE,1,2021-01-16,9,1,2,1
6505006601798,SPE2D921F1183,BASE,1,2021-01-17,9,1,2,1
6505006601798,SPE2D921F1275,BASE,1,2021-01-28,9,1,2,1
6505006601798,SPE2D921F1344,BASE,1,2021-02-03,9,1,2,1
6505006601798,SPE2D921F1395,BASE,1,2021-02-06,8,1,2,1
6505006601798,SPE2D921F1447,BASE,1,2021-02-11,8,1,2,1
6505006601798,SPE2D921F1462,BASE,1,2021-02-13,8,1,2,1
6505006601798,SPE2D922F3417,BASE,1,2022-06-29,5,1,2,1
6505006640857,SPE2D922F1091,BASE,1,2021-12-28,6,1,2,1
6505006640857,SPE2D922F1156,BASE,1,2022-01-07,8,1,2,1
6505007854357,SPE2D921F1835,BASE,1,2021-03-23,14,1,2,1
6505008902013,SPE2D920F2025,BASE,1,2020-03-12,21,2,2,1
6505010161470,SPE2D922F2592,BASE,1,2022-05-05,8,1,2,1
6505010161470,SPE2D922F2814,BASE,1,2022-05-18,7,1,2,1
6505010161470,SPE2D922F2818,BASE,1,2022-05-18,7,1,2,1
6505010370395,SPE2D922F0362,BASE,1,2021-10-24,3,1,2,1
6505010628010,SPE2D921F1031,BASE,1,2021-01-01,8,1,2,1
6505011132627,SPE2D921F1769,BASE,1,2021-03-16,6,1,2,1
6505011151474,SPE2D920F1541,BASE,1,2020-02-12,5,1,2,1
6505011165655,SPE2D920F3771,BASE,1,2020-08-05,6,1,2,1
6505011224330,SPE2D921F1165,BASE,1,2021-01-16,3,1,2,1
