"treated_nsn","delta_treated","pre_treated","post_treated","delta_donor","n_donors","sum_w","tau","outcome","post_label","post_threshold"
"8150014839123",0.372109337732052,8.88118903496988,9.25329837270193,0.253575068345747,3,3,0.118534269386305,"max_log_unit_price","ey2plus",2
"8150014912678",0.20328806347497,9.24077965335507,9.44406771683004,0.513043378741344,3,3,-0.309755315266374,"max_log_unit_price","ey2plus",2
"8150015012741",0.1868835080222,9.14982516276879,9.33670867079099,0.494489328750128,3,3,-0.307605820727928,"max_log_unit_price","ey2plus",2
"8150015148414",0.0204713544759496,9.26082914501028,9.28130049948623,0.441442156542028,3,3,-0.420970802066079,"max_log_unit_price","ey2plus",2
"8150015338674",0.0929662677634138,8.87351751130102,8.96648377906443,0.204244625609345,3,3,-0.111278357845931,"max_log_unit_price","ey2plus",2
"8150015338675",0.213148200068995,8.67007603021,8.88322423027899,0.275163614486473,3,3,-0.0620154144174787,"max_log_unit_price","ey2plus",2
"3990015742050",-1.08333333333333,2.08333333333333,1,0.62962962962963,3,3,-1.71296296296296,"mean_offers","ey2plus",2
"4510015272274",-2.8,14.8,12,-5.89285714285714,3,3,3.09285714285714,"mean_offers","ey2plus",2
"8150014633177",-0.694326768239812,3.19432676823981,2.5,-0.0281638667845565,3,3,-0.666162901455255,"mean_offers","ey2plus",2
"8150014638553",-0.422219202898551,3.86076086956522,3.43854166666667,-0.0443181818181819,1,1,-0.377901021080369,"mean_offers","ey2plus",2
"8150014638555",-1.22665429808287,3.89332096474954,2.66666666666667,-0.195858814906434,3,3,-1.03079548317644,"mean_offers","ey2plus",2
"8150014813741",0.0324675324675328,2.56753246753247,2.6,-0.0144781144781145,3,3,0.0469456469456472,"mean_offers","ey2plus",2
"8150014839115",0.738095238095238,2.26190476190476,3,-0.0853174603174602,2,2,0.823412698412698,"mean_offers","ey2plus",2
"8150014839123",1.15759071846028,2.19458319458319,3.35217391304348,-0.121173469387755,2,2,1.27876418784804,"mean_offers","ey2plus",2
"8150014912678",-0.905376344086021,4.23870967741935,3.33333333333333,-0.0281638667845565,3,3,-0.877212477301464,"mean_offers","ey2plus",2
"8150015012741",0.101711560044893,2.67606621773288,2.77777777777778,-0.0216450216450216,3,3,0.123356581689915,"mean_offers","ey2plus",2
"8150015148414",0.299385560675883,3.10061443932412,3.4,-0.121173469387755,2,2,0.420559030063638,"mean_offers","ey2plus",2
"8150015338674",-0.370757020757021,3.37075702075702,3,-0.90952380952381,3,3,0.538766788766789,"mean_offers","ey2plus",2
"8150015338675",0.258333333333333,2.54166666666667,2.8,0.375446428571429,2,2,-0.117113095238095,"mean_offers","ey2plus",2
"3990015742050",-0.395833333333333,0.395833333333333,0,-0.0185185185185185,3,3,-0.377314814814815,"domestic_share","ey2plus",2
"4510015272274",0.6,0.4,1,0,3,3,0.6,"domestic_share","ey2plus",2
"8150014633177",-0.45982905982906,0.45982905982906,0,-0.373766233766234,3,3,-0.0860628260628261,"domestic_share","ey2plus",2
"8150014638553",-0.664425465838509,0.726925465838509,0.0625,-0.201893939393939,3,3,-0.46253152644457,"domestic_share","ey2plus",2
"8150014638555",-0.347402597402597,0.347402597402597,0,-0.464021164021164,3,3,0.116618566618567,"domestic_share","ey2plus",2
"8150014813741",-0.515384615384615,0.515384615384615,0,-0.316611166611167,3,3,-0.198773448773449,"domestic_share","ey2plus",2
"8150014839115",-0.857142857142857,0.857142857142857,0,0,2,2,-0.857142857142857,"domestic_share","ey2plus",2
"8150014839123",-0.715384615384615,0.715384615384615,0,0,3,3,-0.715384615384615,"domestic_share","ey2plus",2
"8150014912678",-0.52,0.52,0,-0.373766233766234,3,3,-0.146233766233766,"domestic_share","ey2plus",2
"8150015012741",-0.603535353535354,0.603535353535354,0,-0.322829295460874,3,3,-0.280706058074479,"domestic_share","ey2plus",2
"8150015148414",-0.692780337941628,0.692780337941628,0,0,2,2,-0.692780337941628,"domestic_share","ey2plus",2
"8150015338674",-0.722466422466422,0.722466422466422,0,0,3,3,-0.722466422466422,"domestic_share","ey2plus",2
"8150015338675",-0.65,0.65,0,-0.213541666666667,2,2,-0.436458333333333,"domestic_share","ey2plus",2
