"Means Treated","Means Control","Std. Mean Diff.","Var. Ratio","eCDF Mean","eCDF Max","Std. Pair Dist.","treated_nsn","covariate","stage"
8.881189,4.393136,1.653668,NA,0.469628,0.967138,NA,"8150014839123","mean_max_log_unit_price","before"
0.715385,0.971382,-1.97766,NA,0.682865,0.96622,NA,"8150014839123","mean_domestic_share","before"
2.194583,4.631245,-0.503278,NA,0.301284,0.674683,NA,"8150014839123","mean_pre_offers","before"
0,1.242651,-1.051034,NA,0.000367,1,1.051034,"8150014839123","distance","after"
2.433613,1.852533,0.493684,NA,0.036145,1,0.493684,"8150014839123","log_n_transactions_per_fy","after"
8.881189,7.722458,0.426946,NA,0.068217,1,0.426946,"8150014839123","mean_max_log_unit_price","after"
0.715385,0.806667,-0.705182,NA,0.091596,1,0.705182,"8150014839123","mean_domestic_share","after"
2.194583,2.009877,0.03815,NA,0.233964,0.666667,0.23575,"8150014839123","mean_pre_offers","after"
0,3.435964,-3.936754,NA,0.499994,1,NA,"8150014839125","distance","before"
2.433613,1.74994,0.707208,NA,0.080178,0.823818,NA,"8150014839125","log_n_transactions_per_fy","before"
8.944617,4.792913,1.540951,NA,0.460331,0.957713,NA,"8150014839125","mean_max_log_unit_price","before"
0.587912,0.956752,-2.237881,NA,0.668126,0.958153,NA,"8150014839125","mean_domestic_share","before"
2.535806,3.964896,-0.362975,NA,0.27554,0.552657,NA,"8150014839125","mean_pre_offers","before"
0,1.003331,-1.149567,NA,0.000147,1,1.149567,"8150014839125","distance","after"
2.433613,2.268471,0.170827,NA,0.021569,0.666667,0.312505,"8150014839125","log_n_transactions_per_fy","after"
8.944617,8.022805,0.342141,NA,0.099446,0.666667,0.428569,"8150014839125","mean_max_log_unit_price","after"
0.587912,0.528253,0.361971,NA,0.02956,1,0.361971,"8150014839125","mean_domestic_share","after"
2.535806,3.115451,-0.147224,NA,0.265506,0.666667,0.397243,"8150014839125","mean_pre_offers","after"
0,3.845941,-4.276073,NA,0.500082,1,NA,"8150014912678","distance","before"
2.624669,2.049953,0.516775,NA,0.094277,0.774047,NA,"8150014912678","log_n_transactions_per_fy","before"
9.24078,4.612324,1.715149,NA,0.478542,0.975784,NA,"8150014912678","mean_max_log_unit_price","before"
0.52,0.967842,-3.294843,NA,0.777537,0.973854,NA,"8150014912678","mean_domestic_share","before"
4.23871,4.53591,-0.064977,NA,0.285057,0.645441,NA,"8150014912678","mean_pre_offers","before"
0,1.338835,-1.488571,NA,0.000193,1,1.488571,"8150014912678","distance","after"
2.624669,2.431006,0.174139,NA,0.037744,0.666667,0.425823,"8150014912678","log_n_transactions_per_fy","after"
9.24078,8.068442,0.434429,NA,0.064489,1,0.434429,"8150014912678","mean_max_log_unit_price","after"
0.52,0.41619,0.763743,NA,0.035537,1,0.763743,"8150014912678","mean_domestic_share","after"
4.23871,2.692436,0.338061,NA,0.429594,0.666667,0.588702,"8150014912678","mean_pre_offers","after"
0,3.489848,-3.607422,NA,0.500062,1,NA,"8150015012741","distance","before"
2.517696,1.993872,0.500995,NA,0.091963,0.769418,NA,"8150015012741","log_n_transactions_per_fy","before"
9.149825,4.590183,1.683016,NA,0.473617,0.971838,NA,"8150015012741","mean_max_log_unit_price","before"
0.603535,0.966729,-2.584627,NA,0.710353,0.967975,NA,"8150015012741","mean_domestic_share","before"
2.676066,4.422858,-0.387945,NA,0.273726,0.567812,NA,"8150015012741","mean_pre_offers","before"
0,1.055945,-1.09152,NA,0.000203,1,1.09152,"8150015012741","distance","after"
2.517696,2.108931,0.390951,NA,0.029356,1,0.390951,"8150015012741","log_n_transactions_per_fy","after"
9.149825,7.725766,0.525636,NA,0.11295,0.666667,0.532669,"8150015012741","mean_max_log_unit_price","after"
0.603535,0.563516,0.284792,NA,0.022621,0.666667,0.320734,"8150015012741","mean_domestic_share","after"
2.676066,3.788564,-0.247074,NA,0.173409,1,0.247074,"8150015012741","mean_pre_offers","after"
0,5.045307,-5.029674,NA,0.500004,1,NA,"8150015134913","distance","before"
1.526056,1.90545,-0.379052,NA,0.066281,0.512646,NA,"8150015134913","log_n_transactions_per_fy","before"
