waiver_id,created,modified,identifier,identifier_type,source_field,waiver_title,contracting_agency,funding_agency,psc,waiver_type,fiscal_year
6687ff63cfe7fa81ab67e3ec,2024-07-05 14:12:51.050000+00:00,2024-07-19 13:32:41.292000+00:00,NXLS2502-0-US,part_number,summary,Electrical Stereo Equipment,DEPT OF THE NAVY,DEPT OF THE NAVY,5999 - MISCELLANEOUS ELECTRICAL AND ELECTRONIC COMPONENTS,Nonavailability,2024
6687ff63cfe7fa81ab67e3ec,2024-07-05 14:12:51.050000+00:00,2024-07-19 13:32:41.292000+00:00,NXLS1502-0-US,part_number,summary,Electrical Stereo Equipment,DEPT OF THE NAVY,DEPT OF THE NAVY,5999 - MISCELLANEOUS ELECTRICAL AND ELECTRONIC COMPONENTS,Nonavailability,2024
6687ff63cfe7fa81ab67e3ec,2024-07-05 14:12:51.050000+00:00,2024-07-19 13:32:41.292000+00:00,DCI4X300-U-USFX,part_number,summary,Electrical Stereo Equipment,DEPT OF THE NAVY,DEPT OF THE NAVY,5999 - MISCELLANEOUS ELECTRICAL AND ELECTRONIC COMPONENTS,Nonavailability,2024
66057e6f6a39bdf61f118b92,2024-03-28 14:27:59.621000+00:00,2024-05-21 17:33:15.106000+00:00,8150014638553,nsn,summary,VARIOUS TYPES OF GENERAL FREIGHT CONTAINERS,DEFENSE LOGISTICS AGENCY,DEFENSE LOGISTICS AGENCY,8150 - FREIGHT CONTAINERS,Nonavailability,2024
66057e6f6a39bdf61f118b92,2024-03-28 14:27:59.621000+00:00,2024-05-21 17:33:15.106000+00:00,8150014636282,nsn,summary,VARIOUS TYPES OF GENERAL FREIGHT CONTAINERS,DEFENSE LOGISTICS AGENCY,DEFENSE LOGISTICS AGENCY,8150 - FREIGHT CONTAINERS,Nonavailability,2024
66057e6f6a39bdf61f118b92,2024-03-28 14:27:59.621000+00:00,2024-05-21 17:33:15.106000+00:00,8150015148414,nsn,summary,VARIOUS TYPES OF GENERAL FREIGHT CONTAINERS,DEFENSE LOGISTICS AGENCY,DEFENSE LOGISTICS AGENCY,8150 - FREIGHT CONTAINERS,Nonavailability,2024
66057e6f6a39bdf61f118b92,2024-03-28 14:27:59.621000+00:00,2024-05-21 17:33:15.106000+00:00,8150015134913,nsn,summary,VARIOUS TYPES OF GENERAL FREIGHT CONTAINERS,DEFENSE LOGISTICS AGENCY,DEFENSE LOGISTICS AGENCY,8150 - FREIGHT CONTAINERS,Nonavailability,2024
66057e6f6a39bdf61f118b92,2024-03-28 14:27:59.621000+00:00,2024-05-21 17:33:15.106000+00:00,8150015012741,nsn,summary,VARIOUS TYPES OF GENERAL FREIGHT CONTAINERS,DEFENSE LOGISTICS AGENCY,DEFENSE LOGISTICS AGENCY,8150 - FREIGHT CONTAINERS,Nonavailability,2024
66057e6f6a39bdf61f118b92,2024-03-28 14:27:59.621000+00:00,2024-05-21 17:33:15.106000+00:00,8150014886545,nsn,summary,VARIOUS TYPES OF GENERAL FREIGHT CONTAINERS,DEFENSE LOGISTICS AGENCY,DEFENSE LOGISTICS AGENCY,8150 - FREIGHT CONTAINERS,Nonavailability,2024
66057e6f6a39bdf61f118b92,2024-03-28 14:27:59.621000+00:00,2024-05-21 17:33:15.106000+00:00,8150014912678,nsn,summary,VARIOUS TYPES OF GENERAL FREIGHT CONTAINERS,DEFENSE LOGISTICS AGENCY,DEFENSE LOGISTICS AGENCY,8150 - FREIGHT CONTAINERS,Nonavailability,2024
