"Date","Contract","Order","Line","NSN","Price","Qty","Cage","Company"
"2015/04/27","SPE8EH15V0689","","0001","4240-01-538-7970","13.87","1027","5HQV0","INTEGRITY TOOL & FASTENER, INC"
"2014/11/28","SPE8EH15V0217","","0001","4240-01-538-7970","12.83","1027","5HQV0","INTEGRITY TOOL & FASTENER, INC"
"2014/05/16","GS21F0001X","GSMPSAWV2144","","4240-01-538-7970","90.83","4","0FL68","JOHNSTON INDUSTRIAL SUPPLY, IN"
"2014/01/27","SPE8EH14V0805","","0001","4240-01-538-7970","12.19","648","91311","SAF-T-GARD INTERNATIONAL, INC."
"2013/11/20","SPE8EH14V0493","","0001","4240-01-538-7970","12.21","1084","91311","SAF-T-GARD INTERNATIONAL, INC."
"2013/06/03","SPM8EJ13M0273","","0001","4240-01-538-7970","12.30","603","34RJ9","ENCO INDUSTRIES INC."
"2013/06/03","SPE8EH13V0089","","0001","4240-01-538-7970","12.35","656","34RJ9","ENCO INDUSTRIES INC."
"2013/02/05","SPM8EH13V0228","","0001","4240-01-538-7970","12.37","764","34RJ9","ENCO INDUSTRIES, INC."
"2012/06/28","SPM8EH12V0662","","0002","4240-01-538-7970","12.75","346","91311","SAF-T-GARD INTERNATIONAL INC."
"2012/06/28","SPM8EH12V0662","","0001","4240-01-538-7970","12.75","241","91311","SAF-T-GARD INTERNATIONAL INC."
"2012/05/31","GS06F53MCO","GSMPSAZ98582","","4240-01-538-7970","69.86","7","76381","3M COMPANY"
"2012/04/24","GS06F0001R","GSMPSAWY6852","","4240-01-538-7970","16.63","520","08FV7","INTERNATIONAL SUPPLIERS, INC."
