"treated_nsn","delta_treated","pre_treated","post_treated","delta_donor","n_donors","sum_w","tau","outcome","post_label","post_threshold"
"8150014912727",-0.181955688334462,9.57838838689421,9.39643269855975,0.303704977016508,3,3,-0.485660665350969,"max_log_unit_price","headline",0
"8150015012741",0.143110175320471,9.14982516276879,9.29293533808926,0.362668273446217,3,3,-0.219558098125746,"max_log_unit_price","headline",0
"8150015134913",0.161351613228716,9.47136764537032,9.63271925859904,0.187051764518136,3,3,-0.02570015128942,"max_log_unit_price","headline",0
"8150015148414",0.0470834884244677,9.26082914501028,9.30791263343475,0.323522713011259,3,3,-0.276439224586791,"max_log_unit_price","headline",0
"8150015338673",-0.0806853382703459,8.96084375320388,8.88015841493354,0.123142800678448,3,3,-0.203828138948794,"max_log_unit_price","headline",0
"8150015338674",0.0794583445323926,8.87351751130102,8.95297585583341,0.41177824152971,3,3,-0.332319896997317,"max_log_unit_price","headline",0
"8150015338675",0.121506957617624,8.67007603021,8.79158298782762,0.10140218110996,3,3,0.0201047765076649,"max_log_unit_price","headline",0
"8150015338677",-0.0439654950593447,8.83842576132387,8.79446026626453,0.15252705644667,3,3,-0.196492551506014,"max_log_unit_price","headline",0
"8150015737424",-0.309908325198009,9.35761211369664,9.04770378849863,0.372786932692306,3,3,-0.682695257890315,"max_log_unit_price","headline",0
"8150015741682",0.104623423032901,8.88214012401976,8.98676354705266,0.398636682550327,3,3,-0.294013259517425,"max_log_unit_price","headline",0
"1660016004909",0,1,1,0,2,2,0,"mean_offers","headline",0
"2895145543146",-22.5,24.5,2,-9.35,3,3,-13.15,"mean_offers","headline",0
"3990015742050",-0.583333333333333,2.08333333333333,1.5,0.670701058201058,3,3,-1.25403439153439,"mean_offers","headline",0
"4240015387970",9.46666666666667,9.2,18.6666666666667,-0.541666666666666,1,1,10.0083333333333,"mean_offers","headline",0
"4510015272274",-5.3,14.8,9.5,-3.46875,2,2,-1.83125,"mean_offers","headline",0
"8150014633177",-0.735064935064935,3.33030303030303,2.5952380952381,-0.0344497863247863,3,3,-0.700615148740149,"mean_offers","headline",0
"8150014638553",-1.59815312192071,5.15492753623188,3.55677441431118,4.55138888888889,2,2,-6.14954201080959,"mean_offers","headline",0
"8150014638555",-1.10096153846154,3.84401709401709,2.74305555555556,0.292828511876131,3,3,-1.39379005033767,"mean_offers","headline",0
