"Means Treated","Means Control","Std. Mean Diff.","Var. Ratio","eCDF Mean","eCDF Max","Std. Pair Dist.","treated_nsn","covariate","stage"
3.844017,3.328159,0.114739,NA,0.194247,0.666667,0.289682,"8150014638555","mean_pre_offers","after"
0,4.613879,-5.021834,NA,0.500005,1,NA,"8150014813740","distance","before"
1.609438,1.814213,-0.207449,NA,0.060696,0.557791,NA,"8150014813740","log_n_transactions_per_fy","before"
8.887791,4.829101,1.499559,NA,0.454828,0.951496,NA,"8150014813740","mean_max_log_unit_price","before"
0.255952,0.959766,-4.477311,NA,0.822153,0.978425,NA,"8150014813740","mean_domestic_share","before"
2,4.011844,-0.500405,NA,0.305091,0.646281,NA,"8150014813740","mean_pre_offers","before"
0,0.543726,-0.591802,NA,0.000162,1,0.591802,"8150014813740","distance","after"
1.609438,1.495732,0.11519,NA,0.003933,1,0.11519,"8150014813740","log_n_transactions_per_fy","after"
8.887791,8.458957,0.158441,NA,0.045136,0.666667,0.234621,"8150014813740","mean_max_log_unit_price","after"
0.255952,0.264683,-0.055537,NA,0.02584,0.666667,0.398856,"8150014813740","mean_domestic_share","after"
2,1.168342,0.206858,NA,0.176567,1,0.206858,"8150014813740","mean_pre_offers","after"
0,3.836027,-4.223159,NA,0.500049,1,NA,"8150014813741","distance","before"
2.70805,1.995349,0.686089,NA,0.101745,0.801409,NA,"8150014813741","log_n_transactions_per_fy","before"
8.938209,4.627426,1.60562,NA,0.467783,0.965165,NA,"8150014813741","mean_max_log_unit_price","before"
0.515385,0.966562,-3.249609,NA,0.752089,0.973104,NA,"8150014813741","mean_domestic_share","before"
2.564675,4.529653,-0.415576,NA,0.275774,0.590512,NA,"8150014813741","mean_pre_offers","before"
0,0.973085,-1.071289,NA,0.000198,1,1.071289,"8150014813741","distance","after"
2.70805,2.538354,0.16336,NA,0.021905,0.666667,0.228405,"8150014813741","log_n_transactions_per_fy","after"
8.938209,8.435496,0.187244,NA,0.028906,1,0.187244,"8150014813741","mean_max_log_unit_price","after"
0.515385,0.430495,0.611418,NA,0.056738,0.666667,0.988717,"8150014813741","mean_domestic_share","after"
2.564675,1.631937,0.197266,NA,0.244205,0.666667,0.243954,"8150014813741","mean_pre_offers","after"
0,2.540354,-1.83069,NA,0.500117,1,NA,"8150014839115","distance","before"
1.386294,2.020008,-0.602447,NA,0.078583,0.662507,NA,"8150014839115","log_n_transactions_per_fy","before"
8.636438,4.560868,1.499146,NA,0.452181,0.948599,NA,"8150014839115","mean_max_log_unit_price","before"
0.857143,0.967109,-0.784897,NA,0.501575,0.94183,NA,"8150014839115","mean_domestic_share","before"
2.178571,4.195978,-0.462549,NA,0.297616,0.637017,NA,"8150014839115","mean_pre_offers","before"
0,0.350082,-0.252285,NA,0.000212,1,0.252285,"8150014839115","distance","after"
1.386294,1.525426,-0.132267,NA,0.004431,1,0.132267,"8150014839115","log_n_transactions_per_fy","after"
8.636438,8.240517,0.145634,NA,0.022548,1,0.145634,"8150014839115","mean_max_log_unit_price","after"
0.857143,0.889583,-0.231549,NA,0.085757,0.666667,0.295278,"8150014839115","mean_domestic_share","after"
2.178571,2.310185,-0.030176,NA,0.094282,0.666667,0.087193,"8150014839115","mean_pre_offers","after"
0,2.606162,-2.246698,NA,0.500025,1,NA,"8150014839121","distance","before"
2.415914,1.676823,0.799671,NA,0.070332,0.843305,NA,"8150014839121","log_n_transactions_per_fy","before"
8.843844,4.868156,1.513078,NA,0.458296,0.955267,NA,"8150014839121","mean_max_log_unit_price","before"
1,0.957316,0.268058,NA,0.071255,0.12249,NA,"8150014839121","mean_domestic_share","before"
2.0625,4.315724,-0.530776,NA,0.300137,0.671511,NA,"8150014839121","mean_pre_offers","before"
0,0.207318,-0.178723,NA,0.000103,1,0.178723,"8150014839121","distance","after"
2.415914,2.340171,0.081951,NA,0.005442,1,0.081951,"8150014839121","log_n_transactions_per_fy","after"
8.843844,8.815502,0.010787,NA,0.01697,0.666667,0.115262,"8150014839121","mean_max_log_unit_price","after"
1,1,0,NA,0,0,0,"8150014839121","mean_domestic_share","after"
2.0625,1.79011,0.064165,NA,0.059433,1,0.064165,"8150014839121","mean_pre_offers","after"
0,3.153244,-2.916412,NA,0.5,1,NA,"8150014839123","distance","before"
2.624669,2.294011,0.280888,NA,0.121757,0.686915,NA,"8150014839123","log_n_transactions_per_fy","before"
8.881189,4.393891,1.653218,NA,0.469639,0.96715,NA,"8150014839123","mean_max_log_unit_price","before"
0.722222,0.971314,-1.922986,NA,0.676449,0.965682,NA,"8150014839123","mean_domestic_share","before"
2.205556,4.631604,-0.501145,NA,0.300949,0.671866,NA,"8150014839123","mean_pre_offers","before"
0,1.134345,-1.049147,NA,0.000367,1,1.049147,"8150014839123","distance","after"
2.624669,2.592419,0.027396,NA,0.059148,0.666667,0.43212,"8150014839123","log_n_transactions_per_fy","after"
8.881189,7.504678,0.507137,NA,0.104286,1,0.507137,"8150014839123","mean_max_log_unit_price","after"
0.722222,0.738419,-0.12504,NA,0.088263,0.666667,0.785156,"8150014839123","mean_domestic_share","after"
2.205556,3.136902,-0.192387,NA,0.192958,1,0.192387,"8150014839123","mean_pre_offers","after"
0,3.518879,-4.347093,NA,0.499995,1,NA,"8150014839125","distance","before"
2.639057,1.750141,0.919292,NA,0.093245,0.848967,NA,"8150014839125","log_n_transactions_per_fy","before"
8.944617,4.793232,1.540739,NA,0.460334,0.957717,NA,"8150014839125","mean_max_log_unit_price","before"
0.594679,0.956714,-2.195811,NA,0.66462,0.957936,NA,"8150014839125","mean_domestic_share","before"
2.523728,3.9647,-0.366005,NA,0.275892,0.554009,NA,"8150014839125","mean_pre_offers","before"
0,1.025893,-1.26735,NA,0.000147,1,1.26735,"8150014839125","distance","after"
2.639057,2.735902,-0.100154,NA,0.036328,0.333333,0.305094,"8150014839125","log_n_transactions_per_fy","after"
8.944617,8.23264,0.264242,NA,0.085559,0.666667,0.350665,"8150014839125","mean_max_log_unit_price","after"
0.594679,0.501798,0.56334,NA,0.046541,1,0.56334,"8150014839125","mean_domestic_share","after"
2.523728,3.355335,-0.211227,NA,0.221322,0.666667,0.337348,"8150014839125","mean_pre_offers","after"
0,4.03948,-3.966618,NA,0.500038,1,NA,"8150014886545","distance","before"
1.098612,1.796131,-0.681378,NA,0.063407,0.742624,NA,"8150014886545","log_n_transactions_per_fy","before"
9.254357,4.712278,1.68252,NA,0.474361,0.972555,NA,"8150014886545","mean_max_log_unit_price","before"
0.416667,0.961796,-3.575407,NA,0.7831,0.973088,NA,"8150014886545","mean_domestic_share","before"
2.75,4.228733,-0.349007,NA,0.269496,0.541359,NA,"8150014886545","mean_pre_offers","before"
0,0.586952,-0.576364,NA,0.000152,1,0.576364,"8150014886545","distance","after"
1.098612,0.991571,0.104564,NA,0.00381,0.666667,0.186076,"8150014886545","log_n_transactions_per_fy","after"
9.254357,8.643151,0.226409,NA,0.048779,0.666667,0.325117,"8150014886545","mean_max_log_unit_price","after"
0.416667,0.410714,0.039041,NA,0.028249,0.666667,0.40342,"8150014886545","mean_domestic_share","after"
2.75,2.372222,0.089162,NA,0.108747,0.666667,0.115386,"8150014886545","mean_pre_offers","after"
0,3.906255,-4.704191,NA,0.500084,1,NA,"8150014912678","distance","before"
2.76001,2.050281,0.638077,NA,0.101514,0.794733,NA,"8150014912678","log_n_transactions_per_fy","before"
9.24078,4.613185,1.71454,NA,0.478546,0.975789,NA,"8150014912678","mean_max_log_unit_price","before"
0.52,0.967779,-3.292815,NA,0.778199,0.973859,NA,"8150014912678","mean_domestic_share","before"
4.2,4.535478,-0.073351,NA,0.283594,0.640301,NA,"8150014912678","mean_pre_offers","before"
0,1.151926,-1.387231,NA,0.000193,1,1.387231,"8150014912678","distance","after"
