treated_nsn,outcome,n_treated_eys,treated_eys,n_pre_eys,n_post_eys,n_candidates_pre_coverage,n_balanced_pool,out_path
8150014813740,mean_offers,6,"-5,-4,-3,-1,0,1",4,2,320638,4330,data/donor_pools/main/8150014813740__mean_offers.parquet
8150014813740,domestic_share,6,"-5,-4,-3,-1,0,1",4,2,364189,15861,data/donor_pools/main/8150014813740__domestic_share.parquet
8150014813741,max_log_unit_price,8,"-5,-4,-3,-2,-1,0,1,2",5,3,372250,15511,data/donor_pools/main/8150014813741__max_log_unit_price.parquet
8150014813741,mean_offers,8,"-5,-4,-3,-2,-1,0,1,2",5,3,320638,2928,data/donor_pools/main/8150014813741__mean_offers.parquet
8150014813741,domestic_share,8,"-5,-4,-3,-2,-1,0,1,2",5,3,364189,13906,data/donor_pools/main/8150014813741__domestic_share.parquet
8150014839115,max_log_unit_price,8,"-5,-4,-3,-2,-1,0,1,2",5,3,372250,14744,data/donor_pools/main/8150014839115__max_log_unit_price.parquet
8150014839115,mean_offers,8,"-5,-4,-3,-2,-1,0,1,2",5,3,320638,2615,data/donor_pools/main/8150014839115__mean_offers.parquet
8150014839115,domestic_share,8,"-5,-4,-3,-2,-1,0,1,2",5,3,364189,12203,data/donor_pools/main/8150014839115__domestic_share.parquet
8150014839121,max_log_unit_price,5,"-4,-3,-2,-1,0",4,1,372250,27421,data/donor_pools/main/8150014839121__max_log_unit_price.parquet
8150014839121,mean_offers,5,"-4,-3,-2,-1,0",4,1,320638,8604,data/donor_pools/main/8150014839121__mean_offers.parquet
8150014839121,domestic_share,5,"-4,-3,-2,-1,0",4,1,364189,26578,data/donor_pools/main/8150014839121__domestic_share.parquet
8150014839123,max_log_unit_price,9,"-5,-4,-3,-2,-1,0,1,2,3",5,4,372250,8815,data/donor_pools/main/8150014839123__max_log_unit_price.parquet
8150014839123,mean_offers,9,"-5,-4,-3,-2,-1,0,1,2,3",5,4,320638,1224,data/donor_pools/main/8150014839123__mean_offers.parquet
8150014839123,domestic_share,9,"-5,-4,-3,-2,-1,0,1,2,3",5,4,364189,7778,data/donor_pools/main/8150014839123__domestic_share.parquet
8150014839125,max_log_unit_price,6,"-5,-3,-2,-1,0,1",4,2,372250,20643,data/donor_pools/main/8150014839125__max_log_unit_price.parquet
8150014839125,mean_offers,6,"-5,-3,-2,-1,0,1",4,2,320638,4809,data/donor_pools/main/8150014839125__mean_offers.parquet
8150014839125,domestic_share,6,"-5,-3,-2,-1,0,1",4,2,364189,17103,data/donor_pools/main/8150014839125__domestic_share.parquet
8150014886545,max_log_unit_price,6,"-4,-3,-2,0,1,2",3,3,372250,19447,data/donor_pools/main/8150014886545__max_log_unit_price.parquet
8150014886545,mean_offers,6,"-4,-3,-2,0,1,2",3,3,320638,4666,data/donor_pools/main/8150014886545__mean_offers.parquet
8150014886545,domestic_share,6,"-4,-3,-2,0,1,2",3,3,364189,17322,data/donor_pools/main/8150014886545__domestic_share.parquet
8150014912678,max_log_unit_price,8,"-5,-4,-3,-2,-1,0,1,2",5,3,372250,15586,data/donor_pools/main/8150014912678__max_log_unit_price.parquet
8150014912678,mean_offers,8,"-5,-4,-3,-2,-1,0,1,2",5,3,320638,2981,data/donor_pools/main/8150014912678__mean_offers.parquet
8150014912678,domestic_share,8,"-5,-4,-3,-2,-1,0,1,2",5,3,364189,14024,data/donor_pools/main/8150014912678__domestic_share.parquet
8150015012741,max_log_unit_price,8,"-5,-4,-3,-2,-1,0,1,2",5,3,372250,15112,data/donor_pools/main/8150015012741__max_log_unit_price.parquet
8150015012741,mean_offers,8,"-5,-4,-3,-2,-1,0,1,2",5,3,320638,2832,data/donor_pools/main/8150015012741__mean_offers.parquet
8150015012741,domestic_share,8,"-5,-4,-3,-2,-1,0,1,2",5,3,364189,13176,data/donor_pools/main/8150015012741__domestic_share.parquet
8150015134913,max_log_unit_price,7,"-5,-4,-3,-2,-1,0,1",5,2,372250,17149,data/donor_pools/main/8150015134913__max_log_unit_price.parquet
8150015134913,mean_offers,7,"-5,-4,-3,-2,-1,0,1",5,2,320638,3560,data/donor_pools/main/8150015134913__mean_offers.parquet
8150015134913,domestic_share,7,"-5,-4,-3,-2,-1,0,1",5,2,364189,14336,data/donor_pools/main/8150015134913__domestic_share.parquet
8150015148414,max_log_unit_price,9,"-5,-4,-3,-2,-1,0,1,2,3",5,4,372250,8815,data/donor_pools/main/8150015148414__max_log_unit_price.parquet
8150015148414,mean_offers,9,"-5,-4,-3,-2,-1,0,1,2,3",5,4,320638,1224,data/donor_pools/main/8150015148414__mean_offers.parquet
8150015148414,domestic_share,9,"-5,-4,-3,-2,-1,0,1,2,3",5,4,364189,7778,data/donor_pools/main/8150015148414__domestic_share.parquet
8150015338673,max_log_unit_price,7,"-5,-4,-3,-2,-1,0,1",5,2,372250,17149,data/donor_pools/main/8150015338673__max_log_unit_price.parquet
8150015338673,mean_offers,7,"-5,-4,-3,-2,-1,0,1",5,2,320638,3560,data/donor_pools/main/8150015338673__mean_offers.parquet
8150015338673,domestic_share,7,"-5,-4,-3,-2,-1,0,1",5,2,364189,14336,data/donor_pools/main/8150015338673__domestic_share.parquet
8150015338674,max_log_unit_price,8,"-5,-4,-3,-2,-1,0,1,2",5,3,372250,15362,data/donor_pools/main/8150015338674__max_log_unit_price.parquet
8150015338674,mean_offers,8,"-5,-4,-3,-2,-1,0,1,2",5,3,320638,2928,data/donor_pools/main/8150015338674__mean_offers.parquet
8150015338674,domestic_share,8,"-5,-4,-3,-2,-1,0,1,2",5,3,364189,13623,data/donor_pools/main/8150015338674__domestic_share.parquet
8150015338675,max_log_unit_price,8,"-5,-4,-3,-2,-1,0,1,2",5,3,372250,14751,data/donor_pools/main/8150015338675__max_log_unit_price.parquet
8150015338675,mean_offers,8,"-5,-4,-3,-2,-1,0,1,2",5,3,320638,2620,data/donor_pools/main/8150015338675__mean_offers.parquet
8150015338675,domestic_share,8,"-5,-4,-3,-2,-1,0,1,2",5,3,364189,12223,data/donor_pools/main/8150015338675__domestic_share.parquet
8150015338677,max_log_unit_price,7,"-5,-4,-3,-2,-1,0,1",5,2,372250,17149,data/donor_pools/main/8150015338677__max_log_unit_price.parquet
8150015338677,mean_offers,7,"-5,-4,-3,-2,-1,0,1",5,2,320638,3560,data/donor_pools/main/8150015338677__mean_offers.parquet
8150015338677,domestic_share,7,"-5,-4,-3,-2,-1,0,1",5,2,364189,14336,data/donor_pools/main/8150015338677__domestic_share.parquet
8150015741682,max_log_unit_price,6,"-5,-4,-3,-1,0,1",4,2,372250,19029,data/donor_pools/main/8150015741682__max_log_unit_price.parquet
8150015741682,mean_offers,6,"-5,-4,-3,-1,0,1",4,2,320638,4330,data/donor_pools/main/8150015741682__mean_offers.parquet
8150015741682,domestic_share,6,"-5,-4,-3,-1,0,1",4,2,364189,15861,data/donor_pools/main/8150015741682__domestic_share.parquet
